customer_id,nombre,ciudad,segmento,fecha_registro
C00001,Cliente 1,Quito,Corporativo,2022-06-15
C00002,Cliente 2,Guayaquil,Retail,2021-02-26
C00003,Cliente 3,Montecristi,Corporativo,2022-06-01
C00004,Cliente 4,Portoviejo,VIP,2021-04-04
C00005,Cliente 5,Guayaquil,Corporativo,2021-04-15
C00006,Cliente 6,Quito,Corporativo,2021-11-20
C00007,Cliente 7,Montecristi,Mayorista,2022-12-11
C00008,Cliente 8,Portoviejo,VIP,2021-11-08
C00009,Cliente 9,Guayaquil,VIP,2023-10-04
C00010,Cliente 10,Quito,Mayorista,2021-11-12
C00011,Cliente 11,Manta,Mayorista,2021-03-23
C00012,Cliente 12,Cuenca,Corporativo,2021-03-09
C00013,Cliente 13,Quito,Retail,2023-06-10
C00014,Cliente 14,Quito,Retail,2021-01-19
C00015,Cliente 15,Quito,Mayorista,2023-03-12
C00016,Cliente 16,Quito,Corporativo,2023-08-01
C00017,Cliente 17,Cuenca,VIP,2022-02-07
C00018,Cliente 18,Guayaquil,VIP,2023-07-21
C00019,Cliente 19,Montecristi,VIP,2022-03-24
C00020,Cliente 20,Cuenca,Retail,2023-10-20
C00021,Cliente 21,Montecristi,Corporativo,2022-09-08
C00022,Cliente 22,Montecristi,Retail,2022-09-23
C00023,Cliente 23,Manta,Retail,2021-07-27
C00024,Cliente 24,Portoviejo,Corporativo,2021-07-07
C00025,Cliente 25,Manta,Corporativo,2023-11-03
C00026,Cliente 26,Guayaquil,Corporativo,2023-09-09
C00027,Cliente 27,Quito,Mayorista,2021-11-25
C00028,Cliente 28,Cuenca,VIP,2022-08-19
C00029,Cliente 29,Portoviejo,Mayorista,2022-12-29
C00030,Cliente 30,Cuenca,VIP,2023-07-24
C00031,Cliente 31,Quito,Mayorista,2022-08-26
C00032,Cliente 32,Quito,Corporativo,2022-09-13
C00033,Cliente 33,Guayaquil,Retail,2021-06-04
C00034,Cliente 34,Guayaquil,Mayorista,2021-05-24
C00035,Cliente 35,Quito,Corporativo,2023-08-03
C00036,Cliente 36,Montecristi,VIP,2022-04-29
C00037,Cliente 37,Quito,Corporativo,2022-08-07
C00038,Cliente 38,Quito,VIP,2022-11-20
C00039,Cliente 39,Portoviejo,VIP,2023-05-28
C00040,Cliente 40,Cuenca,Corporativo,2021-12-27
C00041,Cliente 41,Manta,VIP,2022-05-07
C00042,Cliente 42,Manta,Retail,2022-06-18
C00043,Cliente 43,Guayaquil,Mayorista,2021-03-20
C00044,Cliente 44,Portoviejo,Mayorista,2022-01-10
C00045,Cliente 45,Montecristi,Mayorista,2022-08-06
C00046,Cliente 46,Montecristi,Retail,2023-06-17
C00047,Cliente 47,Quito,Retail,2022-04-09
C00048,Cliente 48,Montecristi,Mayorista,2021-12-15
C00049,Cliente 49,Guayaquil,Corporativo,2023-07-01
C00050,Cliente 50,Portoviejo,Mayorista,2021-09-03
C00051,Cliente 51,Cuenca,Corporativo,2023-04-06
C00052,Cliente 52,Cuenca,Corporativo,2021-01-09
C00053,Cliente 53,Guayaquil,VIP,2023-01-30
C00054,Cliente 54,Montecristi,Corporativo,2022-05-07
C00055,Cliente 55,Quito,Retail,2023-05-11
C00056,Cliente 56,Portoviejo,VIP,2023-03-19
C00057,Cliente 57,Manta,VIP,2021-12-13
C00058,Cliente 58,Guayaquil,Retail,2023-12-04
C00059,Cliente 59,Guayaquil,Corporativo,2021-06-14
C00060,Cliente 60,Montecristi,Corporativo,2021-11-12
